RSCID,Discord ID,Name,Franchise,Team,Tier,SBV,GP
RSC003367,519542890091773956,Osoghost,Snack Syndicate,Apple Associates,Challenger,35.03,46
RSC003146,85594654157864960,Haakon,The Bear Den,Panda Bears,Challenger,34.72,51
RSC005154,239217405669146625,Tacobae,The Monster Mash,Zombies,Challenger,34.36,60
RSC005276,337758284423626774,Dctgti,Energy,Chemical,Challenger,34.19,56
RSC004220,310146268766928897,Logixaal,Pantheon,Tyr,Challenger,34.12,42
RSC002864,247086199200677888,Grovelove,The Cosmos,Nebulae,Challenger,33.74,35
RSC004037,542944893383737344,Humd1Gger,Metal,Iron,Prospect,67.21,24
RSC000005,103606950419234816,Kli,Electric Mayhem,Shock,Challenger,32.32,14
RSC005253,347048526405959691,Dinnindu,Electric Mayhem,Shock,Challenger,30.89,55
RSC001576,246485402842693633,Polarpandah,The Abyss,Isopods,Challenger,30.55,53
RSC005397,568613820583510019,Pridedbird3406,,,Challenger,30.46,8
RSC002897,268935866557136897,Vickyviksta,The Bear Den,Panda Bears,Challenger,29.98,57
RSC004970,714295781053562950,Tgunn05,Energy,Chemical,Challenger,29.92,50
RSC001828,158298559131680768,Zcgentry,Whale Defense,Belugas,Challenger,28.24,44
RSC001032,562138790827655199,Jme,Dungeons And Double Taps,Wizards,Challenger,28.12,27
RSC004699,740678111334760459,D3Wly,Eight Legged Freaks,,Challenger,27.81,8
RSC004907,773036706223882260,Kiwi.,Snack Syndicate,Apple Associates,Challenger,24.86,28
RSC004618,337015441497260033,Squirrel,Minty Fresh,Smooth Mint,Challenger,24.75,33
RSC004790,779831022632042497,Thefrostnl,Pantheon,Tyr,Challenger,23.26,13
RSC005018,331259529964552192,Smitty,The Serpents,Kraits,Challenger,23.19,11
RSC002982,691859077831327824,Ayochi11,Snack Syndicate,Apple Associates,Challenger,22.88,36
RSC004263,189466574011367424,Logicc,The Serpents,Kraits,Challenger,22.22,14
RSC005209,699633239886659614,Carshawnlynchttv,Energy,Chemical,Challenger,22.16,31
RSC002350,565715380371456001,Nacho,,,Challenger,20.79,14
RSC000261,194121820981428225,Chugg,Shark Attack,Threshers,Challenger,20.71,24
RSC005169,260626594102640640,Nightraptor04,The Nexus,Arcturus,Prospect,42.71,28
RSC005399,440097363911114752,The Squiddler,Puppy Paradise,Bulldogs,Challenger,20.37,49
RSC005505,607045390595784704,The_Wheelman_95,Energy,Kinetic,Challenger,19.19,12
RSC003743,271157276214034435,N00Bpr0N,Cheese Guild,Havarti Hustlers,Challenger,18.93,38
RSC001765,107134696206385152,El_Trios,Dungeons And Double Taps,Clerics,Contender,53.34,45
RSC005675,88076845408337920,Lil Nasty,The Abyss,Isopods,Challenger,15.55,21
RSC001820,297052621544357888,Youreviltwin,Puppy Paradise,Bulldogs,Challenger,12.88,27
RSC003450,209079159501094912,Chronoelevated,Destined,Deceased,Challenger,12.39,15
RSC003827,466260810818387968,Calichromatic,Seas Despair,Phantoms Deep,Challenger,12.26,16
RSC003929,484467841634926593,Whoviancat,The Nexus,Scorpius,Rival,1.90,38
